x0005,y0005
527,11734063.17,
528,11733092.64,
529,11735725.37,
530,11734703.15,
531,11733777.78,
532,11732665.85,
533,11731239.15,
534,11732797.43,
535,11732993.23,
536,11732136.9,
537,11731048.78,
538,11730715.32,
539,11732014.98,
540,11730037.7,
541,11730490.13,
542,11730504.47,
543,11731463.64,
544,11732395.19,
545,11730459.7,
546,11731093.46,
547,11730155.15,
548,11729943.01,
549,11731471.36,
550,11730742.8,
551,11727744.7,
552,11728316.05,
553,11729133.9,
554,11727966.78,
555,11726546.95,
556,11726717.68,
557,11728333.08,
558,11728227.79,
559,11727323.63,
560,11725932.36,
561,11728936.28,
562,11729923.77,
563,11729823.51,
564,11727878.85,
565,11727886.98,
566,11728130.8,
567,11728861.45,
568,11727595.47,
569,11728356.7,
570,11726762.02,
571,11725500.31,
572,11728072.27,
573,11724877.81,
574,11726280.57,
575,11727374.66,
576,11726226.23,
577,11725585.27,
578,11726403.43,
579,11725600.85,
580,11726630.77,
581,11727319.55,
582,11725607.09,
583,11727147.75,
584,11727103.7,
585,11727908.43,
586,11726704.08,
587,11725170.04,
588,11727099.78,
589,11724994.89,
590,11725720.8,
591,11725876.15,
592,11725051.94,
593,11724622.93,
594,11726065.83,
595,11724540.79,
596,11724496.63,
597,11725677.68,
598,11726178.77,
599,11724278.61,
600,11726693.87,
601,11726072.93,
602,11726370.34,
603,11726713.87,
604,11724772.56,
605,11724700.5,
606,11724682.48,
607,11723735.48,
608,11724676.73,
609,11725086.13,
610,11725222.52,
611,11723276.67,
612,11724219.89,
613,11724339.93,
614,11723621.8,
615,11723179.9,
616,11724334.77,
617,11725007.91,
618,11724673.57,
619,11725462.05,
620,11725903.84,
621,11725975.42,
622,11725610.06,
623,11726735.34,
624,11726389.33,
625,11726537.28,
626,11727714.25,
627,11726104.55,
628,11726944.62,
629,11727567.32,
630,11725432.83,
631,11726766.93,
632,11724863.8,
633,11723045.85,
634,11721912.62,
635,11724196.63,
636,11725661.2,
637,11725230.73,
638,11725169.34,
639,11726434.14,
640,11725532.06,
641,11726963.13,
642,11728371.05,
643,11726934.1,
644,11726749.64,
645,11726048.07,
646,11727183.85,
647,11726217.78,
648,11726490.88,
649,11725893.4,
650,11725666.35,
651,11727365.9,
652,11726600.16,
653,11725777.95,
654,11726310.37,
655,11725433.96,
656,11726506.04,
657,11727137.01,
658,11725914.66,
659,11724522.31,
660,11726605.04,
661,11726097.05,
662,11725957.09,
663,11726504.51,
664,11724713.69,
665,11726485.59,
666,11725264.01,
667,11724234.28,
668,11724913.94,
669,11724412.42,
670,11724614.63,
671,11723506.85,
672,11723928.92,
673,11724613.11,
674,11725082.08,
675,11725461.45,
676,11725661.82,
677,11725627.18,
678,11725373.68,
679,11723893.88,
680,11724698,
681,11723964.43,
682,11723672.26,
683,11723657.48,
684,11722352.55,
685,11721688.58,
686,11721732.76,
687,11722933.57,
688,11723873.9,
689,11722143.89,
690,11721391.36,
691,11721893.09,
692,11723191.75,
693,11721944.76,
694,11724145.08,
695,11721723.5,
696,11724268.91,
697,11722918.19,
698,11723944.11,
699,11722711.71,
700,11721392.69,
701,11721459.12,
702,11722301.61,
703,11723736.86,
704,11721774.94,
705,11722298.91,
706,11721169.09,
707,11721480.94,
