start,end,ori,sf,tf,contrast
172137,172227,45,0.02,2,0.8
187153,187243,45,0.02,2,0.8
196613,196703,45,0.02,2,0.8
209226,209316,45,0.02,2,0.8
235954,236044,45,0.02,2,0.8
5464,5554,45,0.02,4,0.8
48409,48499,45,0.02,4,0.8
70782,70872,45,0.02,4,0.8
95107,95197,45,0.02,4,0.8
127391,127481,45,0.02,4,0.8
191507,191598,45,0.02,4,0.8
203220,203310,45,0.02,4,0.8
223040,223130,45,0.02,4,0.8
7866,7956,45,0.02,8,0.8
56967,57058,45,0.02,8,0.8
95257,95347,45,0.02,8,0.8
100212,100303,45,0.02,8,0.8
111775,111865,45,0.02,8,0.8
149464,149554,45,0.02,8,0.8
179645,179735,45,0.02,8,0.8
188054,188144,45,0.02,8,0.8
3362,3452,45,0.02,15,0.8
8617,8707,45,0.02,15,0.8
64025,64115,45,0.02,15,0.8
67629,67719,45,0.02,15,0.8
121535,121625,45,0.02,15,0.8
131445,131535,45,0.02,15,0.8
174390,174480,45,0.02,15,0.8
185651,185741,45,0.02,15,0.8
76638,76728,45,0.04,1,0.8
123487,123577,45,0.04,1,0.8
125439,125529,45,0.04,1,0.8
161326,161416,45,0.04,1,0.8
183549,183639,45,0.04,1,0.8
195111,195201,45,0.04,1,0.8
205022,205112,45,0.04,1,0.8
223941,224031,45,0.04,1,0.8
82794,82884,45,0.04,2,0.8
109522,109612,45,0.04,2,0.8
112375,112465,45,0.04,2,0.8
140004,140094,45,0.04,2,0.8
162377,162467,45,0.04,2,0.8
163128,163218,45,0.04,2,0.8
196763,196853,45,0.04,2,0.8
234452,234542,45,0.04,2,0.8
5914,6004,45,0.04,4,0.8
11470,11560,45,0.04,4,0.8
32042,32132,45,0.04,4,0.8
44505,44595,45,0.04,4,0.8
113727,113817,45,0.04,4,0.8
177993,178084,45,0.04,4,0.8
237455,237545,45,0.04,4,0.8
238657,238747,45,0.04,4,0.8
50811,50901,45,0.04,8,0.8
73635,73725,45,0.04,8,0.8
79491,79581,45,0.04,8,0.8
91503,91594,45,0.04,8,0.8
95708,95798,45,0.04,8,0.8
175140,175231,45,0.04,8,0.8
180396,180486,45,0.04,8,0.8
215983,216073,45,0.04,8,0.8
35495,35585,45,0.04,15,0.8
49310,49400,45,0.04,15,0.8
97209,97299,45,0.04,15,0.8
110273,110363,45,0.04,15,0.8
120484,120574,45,0.04,15,0.8
144959,145049,45,0.04,15,0.8
232800,232891,45,0.04,15,0.8
232951,233041,45,0.04,15,0.8
73485,73575,45,0.08,1,0.8
100062,100152,45,0.08,1,0.8
105618,105708,45,0.08,1,0.8
130394,130484,45,0.08,1,0.8
165681,165771,45,0.08,1,0.8
215382,215472,45,0.08,1,0.8
239257,239347,45,0.08,1,0.8
240008,240098,45,0.08,1,0.8
39399,39489,45,0.08,2,0.8
42552,42643,45,0.08,2,0.8
47207,47297,45,0.08,2,0.8
85047,85137,45,0.08,2,0.8
114177,114267,45,0.08,2,0.8
147362,147452,45,0.08,2,0.8
158924,159014,45,0.08,2,0.8
176942,177032,45,0.08,2,0.8
34744,34834,45,0.08,4,0.8
66728,66818,45,0.08,4,0.8
101864,101954,45,0.08,4,0.8
109672,109762,45,0.08,4,0.8
144809,144899,45,0.08,4,0.8
175591,175681,45,0.08,4,0.8
203970,204061,45,0.08,4,0.8
233101,233191,45,0.08,4,0.8
3962,4052,45,0.08,8,0.8
15074,15164,45,0.08,8,0.8
79941,80031,45,0.08,8,0.8
80392,80482,45,0.08,8,0.8
